SQL> describe nwdevices2018;


Name        Null     Type
----------- -------- ------------
ID          NOT NULL NUMBER
MAC_ADDRESS          VARCHAR2(17)
IP_ADDRESS           VARCHAR2(15)
IP_MODE              VARCHAR2(64)
DEVICE_TYPE          VARCHAR2(64)
DEVICE_NAME          VARCHAR2(42)

SQL> select * from nwdevices2018 fetch first 10 rows only;


ID  MAC_ADDRESS        IP_ADDRESS  IP_MODE  DEVICE_TYPE  DEVICE_NAME
1   af:b7:2b:7d:9e:b4  10.1.1.1    static   pc           pc1
2   8a:22:99:bd:ab:8e  10.1.1.2    static   pc           pc2
3   82:2a:d6:ee:3d:6c  10.1.1.3    static   pc           pc3
4   94:46:ed:63:4f:ad  10.1.1.4    static   pc           pc4
5   88:9e:61:3a:a3:ea  10.1.1.5    static   pc           pc5
6   9d:87:29:d7:c1:5e  10.1.1.6    static   pc           pc6
7   41:5c:6d:c1:59:12  10.1.1.7    static   pc           pc7
8   e4:4f:b6:83:e8:bb  10.1.1.8    static   pc           pc8
9   2c:47:d6:21:3a:1f  10.1.1.9    static   pc           pc9
10  ed:4c:e8:31:c5:bb  10.1.1.10   static   pc           pc10


 10 rows selected
